,ticker,price,market_cap,shares_buy
0,A,138.03,40815726770,N/A
1,AAL,14.01,9145959039,N/A
2,AAP,120.69,7153752629,N/A
3,AAPL,164.66,2605241628360,N/A
4,ABBV,161.55,284997105690,N/A
5,ABC,166.35,33645649574,N/A
6,ABMD,381.02,17180642928,N/A
7,ABT,104.93,182362698229,N/A
8,ACN,281.7,186653202211,N/A
9,ADBE,380.6,174533920174,N/A
10,ADI,187.17,94680412238,N/A
11,ADM,78.74,43027092292,N/A
12,ADP,216.11,89545511742,N/A
13,ADSK,197.34,42385218413,N/A
14,AEE,90.07,23600931134,N/A
15,AEP,94.89,48812074442,N/A
16,AES,24.4,16324353570,N/A
17,AFL,64.56,39524190315,N/A
18,AIG,51.08,37475758120,N/A
19,AIV,7.7,1154423771,N/A
20,AIZ,118.33,6261992953,N/A
21,AJG,197.37,42171727963,N/A
22,AKAM,78.92,12334076046,N/A
23,ALB,194.68,22835845635,N/A
24,ALGN,323.14,24797444338,N/A
25,ALK,42.04,5358609514,N/A
26,ALL,115.22,30340848034,N/A
27,ALLE,99.64,8755110825,N/A
28,ALXN,182.5,40336009475,N/A
29,AMAT,114.45,96723803970,N/A
30,AMCR,11.25,16715024640,N/A
31,AMD,92.47,148821810640,N/A
32,AME,135.25,31145495783,N/A
33,AMGN,253.32,135266860610,N/A
34,AMP,297.32,31262546572,N/A
35,AMT,206.69,96244383108,N/A
36,AMZN,102.03,1045527913007,N/A
37,ANET,159.85,48977302132,N/A
38,ANSS,322.08,27959979949,N/A
39,ANTM,482.58,116342693132,N/A
40,AON,322.05,66066103157,N/A
41,AOS,64.6,9869299044,N/A
42,APA,38.07,11837987334,N/A
43,APD,282.0,62627363982,N/A
44,APH,77.64,46165094467,N/A
45,APTV,103.02,27923255656,N/A
46,ARE,124.39,21530302752,N/A
47,ATO,115.42,16523818058,N/A
48,ATVI,85.22,66835841018,N/A
49,AVB,168.19,23533162796,N/A
50,AVGO,622.64,259593350153,N/A
51,AVY,176.87,14345744408,N/A
52,AWK,151.88,29562355754,N/A
53,AXP,158.83,118179982609,N/A
54,AZO,2530.68,46558704089,N/A
55,BA,211.37,126648057497,N/A
56,BAC,27.84,222826883940,N/A
57,BAX,42.3,21383629372,N/A
58,BBY,75.08,16370873934,N/A
59,BDX,254.69,72306909201,N/A
60,BEN,26.6,13306864183,N/A
61,BF.B,62.66,30203538998,N/A
62,BIIB,286.8,41438483273,N/A
63,BIO,466.24,13787845567,N/A
64,BK,44.85,35865466985,N/A
65,BKNG,2583.85,97277748576,N/A
66,BKR,28.51,28848413187,N/A
67,BLK,656.4,98615155237,N/A
68,BLL,69.49,22222129619,N/A
69,BMY,70.74,148787674947,N/A
70,BR,141.2,16618253859,N/A
71,BRK.B,312.51,687834122488,N/A
72,BSX,50.08,71981387442,N/A
73,BWA,46.06,10768151148,N/A
74,BXP,53.1,8327285476,N/A
75,C,45.86,89138652315,N/A
76,CAG,38.38,18303682869,N/A
77,CAH,79.23,20412742645,N/A
78,CARR,41.8,34900972658,N/A
79,CAT,209.17,108003986143,N/A
80,CB,196.8,81504224654,N/A
81,CBOE,136.02,14355864598,N/A
82,CBRE,70.31,21851347629,N/A
83,CCI,134.42,58293826634,N/A
84,CCL,9.73,10858817456,N/A
85,CDNS,208.52,56913448800,N/A
86,CDW,185.5,25152233638,N/A
87,CE,106.03,11750765631,N/A
88,CERN,94.92,27915791082,N/A
89,CF,71.46,14004319262,N/A
90,CFG,29.07,14078853676,N/A
91,CHD,90.61,22114135792,N/A
92,CHRW,92.67,10646722577,N/A
93,CHTR,350.27,59236140477,N/A
94,CI,265.29,78807040237,N/A
95,CINF,111.85,17580187946,N/A
96,CL,75.68,62843066827,N/A
97,CLX,157.76,19487292641,N/A
98,CMA,41.28,5428895691,N/A
99,CMCSA,37.69,158547204509,N/A
100,CME,195.1,70185222884,N/A
101,CMG,1685.21,46548612783,N/A
102,CMI,220.33,31185448931,N/A
103,CMS,62.31,18172811508,N/A
104,CNC,66.02,36357243247,N/A
105,CNP,30.77,19415952402,N/A
106,COF,94.93,36191709930,N/A
107,COG,22.25,8892528027,N/A
108,COO,372.3,18412343707,N/A
109,COP,106.26,128774210898,N/A
110,COST,485.98,215523967966,N/A
111,COTY,11.64,9924215356,N/A
112,CPB,55.47,16611933221,N/A
113,CPRT,74.38,35448951340,N/A
114,CRM,192.55,192550000000,N/A
115,CSCO,51.27,209992861463,N/A
116,CSX,30.02,61576412763,N/A
117,CTAS,451.73,45905018979,N/A
118,CTL,11.0,12072940000,N/A
119,CTSH,60.42,30771580820,N/A
120,CTVA,59.8,42613804176,N/A
121,CTXS,103.9,13183359916,N/A
122,CVS,77.54,99570018659,N/A
123,CVX,167.65,319653903477,N/A
124,CXO,65.6,12877584384,N/A
125,D,58.06,48491341403,N/A
126,DAL,33.69,21603330287,N/A
127,DD,69.64,31918661941,N/A
128,DE,369.65,109535528214,N/A
129,DFS,97.02,25163163084,N/A
130,DG,212.44,46547404854,N/A
131,DGX,142.88,15905830669,N/A
132,DHI,95.64,32842139898,N/A
133,DHR,246.96,180060203721,N/A
